,precision,recall,f1-score,support
Billing and Payments,0.7182539682539683,0.7573221757322176,0.7372708757637475,239.0
Customer Service,0.3807531380753138,0.5027624309392266,0.43333333333333335,362.0
General Inquiry,0.7272727272727273,0.22857142857142856,0.34782608695652173,35.0
Human Resources,0.68,0.3269230769230769,0.44155844155844154,52.0
IT Support,0.564935064935065,0.29896907216494845,0.39101123595505616,291.0
Product Support,0.5102040816326531,0.43383947939262474,0.46893317702227433,461.0
Returns and Exchanges,0.6190476190476191,0.3170731707317073,0.41935483870967744,123.0
Sales and Pre-Sales,0.5625,0.23376623376623376,0.3302752293577982,77.0
Service Outages and Maintenance,0.5533980582524272,0.57,0.5615763546798029,100.0
Technical Support,0.5132837407013815,0.679324894514768,0.5847457627118644,711.0
accuracy,0.5189718482252142,0.5189718482252142,0.5189718482252142,0.5189718482252142
macro avg,0.5829648398171156,0.4348551962736232,0.4715885336048518,2451.0
weighted avg,0.5343329122750089,0.5189718482252142,0.5088109069061061,2451.0
